full_id,name,shop,lon,lat
n2287895372,,,139.7286,35.6601
n2287895321,,,139.7284,35.66
n2287895332,,,139.7291,35.66
n2287895318,,,139.7286,35.66
n2287895320,,,139.7291,35.66
n2287895305,,,139.7285,35.6599
n2287895308,,,139.7286,35.66
n2287895655,,,139.7289,35.6602
n2287895656,,,139.7283,35.6602
n2287895592,,,139.7285,35.6602
n2287895631,,,139.7287,35.6602
n2287895403,,,139.7287,35.6601
n2287895447,,,139.7290,35.6602
n2287895382,,,139.7290,35.6601
n2287895398,,,139.7284,35.66017
n2271652154,コダカ花店,florist,139.7718,35.7082
n2271652156,ビッグ ヴィジョン21,clothes,139.7717,35.7082
n2271650455,メリー 美容室,hairdresser,139.7727,35.7081
n2271650701,セブン-イレブン,convenience,139.7722,35.7081
n2271644022,メガネスーパー,optician,139.7734,35.708
n2271645926,セブン-イレブン,convenience,139.7728,35.7083
n2271630377,KITAYAMA,clothes,139.7740,35.7077
n2271630385,しゅうる,bag,139.7736,35.708
n2276456261,鉄道模型の店ポポンデッタ,model,139.7695,35.70085
n2276456268,Fairy Forest,salon,139.7700,35.7026
n2272548384,No More Tears,clothes,139.7702,35.6994
n2273442009,Akihabara HitecKan Hirose Technical,hardware,139.7706,35.6992
n2272548379,グッドスマイル×アニメイトカフェ,cafe,139.7704,35.6995
n2272548381,GANKING,anime,139.7702,35.6994
n2271652159,FUKUYA,jewelry,139.7719,35.7082
n2271671841,ドン・キホーテ,variety_store,139.7709,35.708
n2276977617,Autumn Leaf,books,139.7708,35.6989
n2276977663,もみねこ,massage,139.7707,35.6988
n2276977465,,,139.7705,35.6996
n2276977578,アキバのエックス,anime,139.7707,35.6989
n2276977432,スーパーポテト,video_games,139.7707,35.6993
n2276977437,,,139.7703,35.6996
n2276456271,メディオ,video_games,139.7704,35.702
n2276977429,カードキングダム,hobby,139.7718,35.6983
n2277871455,メロンブックス,books,139.7710,35.699
n2277871456,,electronic_parts,139.7704,35.6993
n2276977818,,,139.7705,35.6993
n2277871453,Akky II Duty Free,gift,139.7710,35.699
n2276977802,BUY MORE,computer,139.7710,35.7009
n2276977816,あきばお~,electronics,139.7704,35.7015
n2276977700,COSPA,anime,139.7707,35.6987
n2276977799,マルツパーツ館,electronic_parts,139.7708,35.7009
n2280846704,ファミリーマート,convenience,139.7308,35.6643
n2280846706,日弘社,electronics,139.7305,35.6645
n2280778676,PASTICCERIA ISOO,confectionery,139.7278,35.66322
n2280778752,,hairdresser,139.7293,35.664
n2279256379,赤札堂,supermarket,139.7962,35.6734
n2279256753,生鮮マーケット,supermarket,139.7917,35.69147
n2278258718,FEMME,hairdresser,139.7459,35.6476
n2278327525,きっちゃ王,hairdresser,139.7451,35.6478
n2283636656,NUNC malus,hairdresser,139.7442,35.6467
n2283636657,はんこ屋さん21,stationery,139.7441,35.6461
